date,global,north,south
188606,-0.28,-0.33,-0.22
188607,-0.19,-0.13,-0.24
188608,-0.22,-0.37,-0.08
188609,-0.26,-0.41,-0.11
188610,-0.31,-0.44,-0.18
188611,-0.32,-0.49,-0.14
188612,-0.20,-0.08,-0.32
188701,-0.64,-0.92,-0.36
188702,-0.45,-0.48,-0.42
188703,-0.36,-0.41,-0.30
188704,-0.33,-0.34,-0.33
188705,-0.33,-0.31,-0.35
188706,-0.25,-0.23,-0.26
188707,-0.27,-0.31,-0.22
188708,-0.26,-0.41,-0.11
188709,-0.18,-0.17,-0.20
188710,-0.38,-0.54,-0.22
188711,-0.28,-0.31,-0.25
188712,-0.35,-0.48,-0.22
188801,-0.15,-0.09,-0.21
188802,-0.28,-0.41,-0.15
188803,-0.29,-0.38,-0.20
188804,-0.26,-0.35,-0.18
188805,-0.17,-0.18,-0.15
188806,-0.08,0.00,-0.16
188807,-0.01,0.07,-0.09
188808,-0.09,-0.14,-0.03
188809,-0.16,-0.22,-0.09
188810,0.11,0.13,0.09
188811,0.07,0.01,0.13
188812,0.04,-0.02,0.11
188901,0.06,0.04,0.09
188902,0.23,0.37,0.08
188903,0.09,0.01,0.16
188904,0.06,0.05,0.08
188905,0.09,0.04,0.13
188906,-0.02,-0.03,-0.01
188907,-0.07,-0.02,-0.13
188908,-0.10,-0.05,-0.15
188909,-0.14,-0.18,-0.09
188910,-0.19,-0.36,-0.02
188911,-0.31,-0.57,-0.06
188912,-0.25,-0.50,-0.01
189001,-0.34,-0.45,-0.22
189002,-0.36,-0.41,-0.31
189003,-0.36,-0.39,-0.33
189004,-0.39,-0.39,-0.39
189005,-0.30,-0.36,-0.23
189006,-0.26,-0.24,-0.28
189007,-0.26,-0.24,-0.27
189008,-0.32,-0.41,-0.24
189009,-0.40,-0.51,-0.30
189010,-0.26,-0.19,-0.33
189011,-0.44,-0.69,-0.20
189012,-0.33,-0.52,-0.15
189101,-0.29,-0.36,-0.21
189102,-0.52,-0.73,-0.31
189103,-0.21,-0.22,-0.20
189104,-0.23,-0.27,-0.18
189105,-0.14,-0.24,-0.03
189106,-0.10,-0.10,-0.10
189107,-0.12,-0.02,-0.22
189108,-0.17,-0.11,-0.23
189109,-0.20,-0.13,-0.26
189110,-0.20,-0.24,-0.16
189111,-0.37,-0.63,-0.12
189112,-0.15,-0.20,-0.09
189201,-0.19,-0.29,-0.08
189202,-0.10,-0.14,-0.06
189203,-0.24,-0.35,-0.12
189204,-0.27,-0.37,-0.16
189205,-0.32,-0.42,-0.22
189206,-0.22,-0.23,-0.20
189207,-0.32,-0.36,-0.29
189208,-0.28,-0.33,-0.22
189209,-0.20,-0.26,-0.14
189210,-0.29,-0.54,-0.05
189211,-0.39,-0.75,-0.02
189212,-0.31,-0.46,-0.17
189301,-0.54,-0.93,-0.16
189302,-0.47,-0.80,-0.14
189303,-0.38,-0.58,-0.18
189304,-0.33,-0.38,-0.28
189305,-0.33,-0.43,-0.22
189306,-0.18,-0.19,-0.16
189307,-0.21,-0.19,-0.22
189308,-0.24,-0.31,-0.17
189309,-0.29,-0.40,-0.17
189310,-0.28,-0.47,-0.09
189311,-0.33,-0.56,-0.10
189312,-0.41,-0.67,-0.14
189401,-0.53,-0.85,-0.22
189402,-0.45,-0.65,-0.26
189403,-0.33,-0.42,-0.24
189404,-0.42,-0.51,-0.32
189405,-0.25,-0.24,-0.26
189406,-0.42,-0.50,-0.33
189407,-0.21,-0.22,-0.21
189408,-0.17,-0.19,-0.15
189409,-0.31,-0.35,-0.28
189410,-0.32,-0.51,-0.14
189411,-0.28,-0.48,-0.08
189412,-0.23,-0.35,-0.11
189501,-0.33,-0.56,-0.10
189502,-0.35,-0.52,-0.17
189503,-0.26,-0.36,-0.16
189504,-0.21,-0.23,-0.19
189505,-0.29,-0.36,-0.21
189506,-0.18,-0.25,-0.12
189507,-0.10,-0.12,-0.08
189508,-0.11,-0.20,-0.02
189509,-0.19,-0.21,-0.16
189510,-0.19,-0.26,-0.12
189511,-0.17,-0.22,-0.13
189512,-0.20,-0.38,-0.02
189601,-0.17,-0.30,-0.04
189602,-0.16,-0.28,-0.03
189603,-0.17,-0.37,0.02
189604,-0.29,-0.63,0.04
189605,-0.22,-0.34,-0.10
189606,-0.06,-0.05,-0.07
189607,-0.07,-0.05,-0.08
189608,-0.02,-0.05,0.00
189609,-0.09,-0.14,-0.04
189610,0.06,0.05,0.06
189611,-0.07,-0.26,0.12
189612,-0.04,-0.24,0.15
189701,-0.09,-0.22,0.03
189702,-0.20,-0.44,0.05
189703,-0.14,-0.36,0.07
189704,0.05,0.00,0.10
189705,-0.06,-0.03,-0.08
189706,-0.09,-0.16,-0.01
189707,-0.02,0.04,-0.09
189708,-0.03,0.00,-0.07
189709,-0.11,-0.13,-0.08
189710,-0.19,-0.36,-0.03
189711,-0.15,-0.28,-0.02
189712,-0.07,-0.08,-0.07
189801,-0.22,-0.32,-0.12
189802,-0.30,-0.45,-0.15
189803,-0.46,-0.72,-0.20
189804,-0.32,-0.32,-0.31
189805,-0.22,-0.20,-0.24
189806,-0.13,-0.12,-0.15
189807,-0.12,-0.08,-0.16
189808,-0.15,-0.10,-0.19
189809,-0.16,-0.20,-0.12
189810,-0.32,-0.42,-0.22
189811,-0.41,-0.68,-0.14
189812,-0.26,-0.39,-0.13
189901,-0.30,-0.35,-0.25
189902,-0.34,-0.53,-0.15
189903,-0.24,-0.41,-0.07
189904,-0.22,-0.32,-0.11
189905,-0.24,-0.37,-0.12
189906,-0.23,-0.34,-0.11
189907,-0.11,-0.14,-0.07
189908,-0.03,-0.06,-0.01
189909,0.03,0.00,0.06
189910,-0.16,-0.18,-0.13
189911,-0.02,-0.01,-0.03
189912,-0.02,0.00,-0.05
190001,-0.27,-0.45,-0.09
190002,0.03,-0.07,0.12
190003,0.03,0.08,-0.02
190004,-0.13,-0.15,-0.11
190005,-0.07,0.00,-0.14
190006,-0.02,-0.06,0.01
190007,-0.09,-0.08,-0.09
190008,-0.08,-0.09,-0.07
190009,-0.11,-0.08,-0.14
190010,0.04,0.00,0.09
190011,-0.03,-0.14,0.07
190012,-0.01,-0.01,-0.01
190101,-0.20,-0.35,-0.05
190102,-0.11,-0.12,-0.09
190103,0.11,0.39,-0.17
190104,0.05,0.19,-0.09
190105,-0.13,-0.14,-0.11
190106,-0.09,0.00,-0.18
190107,-0.12,-0.06,-0.17
190108,-0.11,-0.10,-0.12
190109,-0.17,-0.28,-0.06
190110,-0.27,-0.36,-0.18
190111,-0.18,-0.29,-0.07
190112,-0.10,-0.12,-0.08
190201,-0.17,-0.20,-0.15
190202,-0.06,-0.01,-0.11
190203,-0.27,-0.39,-0.15
190204,-0.27,-0.38,-0.15
190205,-0.23,-0.35,-0.11
190206,-0.17,-0.31,-0.03
190207,-0.17,-0.24,-0.11
190208,-0.21,-0.20,-0.22
190209,-0.24,-0.36,-0.13
190210,-0.25,-0.32,-0.18
190211,-0.28,-0.44,-0.11
190212,-0.34,-0.52,-0.17
190301,-0.21,-0.25,-0.17
190302,-0.22,-0.23,-0.20
190303,-0.21,-0.22,-0.20
190304,-0.41,-0.52,-0.31
190305,-0.32,-0.39,-0.26
190306,-0.29,-0.44,-0.13
190307,-0.37,-0.42,-0.31
190308,-0.41,-0.48,-0.35
190309,-0.46,-0.48,-0.45
190310,-0.50,-0.65,-0.35
190311,-0.38,-0.39,-0.37
190312,-0.54,-0.66,-0.41
190401,-0.60,-0.67,-0.53
190402,-0.52,-0.55,-0.50
190403,-0.39,-0.29,-0.50
190404,-0.52,-0.58,-0.46
190405,-0.49,-0.48,-0.51
190406,-0.42,-0.51,-0.34
190407,-0.44,-0.56,-0.31
190408,-0.44,-0.48,-0.40
190409,-0.47,-0.58,-0.36
